name,address,latitude,longitude,area
올림픽공원,서울 송파구 올림픽로 424,37.5203396980951,127.115517876627,1447122㎡
와룡근린공원,서울 종로구 와룡공원길 192,37.5911688666848,126.990123964035,207790㎡ 
봉화산근린공원,서울 중랑구 묵동 산 46-1,37.6086174482057,127.084236298283,1018689㎡
북악산도시자연공원,서울 종로구 부암동 산 2-6,37.5996513562073,126.973740371578,954553㎡
북한산국립공원,경기 고양시 덕양구 효자동 산 1-1,37.6742168693018,126.987254078672,1667848㎡
외국인묘지공원,서울 마포구 양화진길 46,37.5465227992805,126.911769148865,13224㎡
불광근린공원,서울 은평구 불광동 산 33-1,37.6211009240235,126.930898267409,130345㎡
불암산도시자연공원,서울 노원구 한글비석로12길 51-33,37.6555053167396,127.081494871112,5332422㎡
용마폭포공원,서울 중랑구 면목동 산 1-4,37.573383957255,127.090942778547,5107964㎡
사육신공원,서울 동작구 노량진로 191,37.5134579901091,126.949411135441,47832㎡
용왕산근린공원,서울 양천구 목동 199-51,37.5421447426774,126.87752068543,213552㎡
사직근린공원,서울 종로구 사직로9길 5,37.5763070087568,126.968620728293,168099.87㎡
우장산근린공원,서울 강서구 내발산동 산 4-5,37.554944661775,126.844580685494,359435.2㎡
삼일근린공원,서울 동작구 사당동 산 24-17,37.4859101761481,126.974624516111,36660㎡
삼청근린공원,서울 종로구 북촌로 134-1,37.5876994790621,126.983451107631,380735㎡ 
인왕산도시자연공원,서울 종로구 옥인동 산 3-1,37.5845055969599,126.963877217283,1807420.9㎡
상도근린공원,서울 동작구 성대로6사길 27-6,37.4941118064266,126.937594360049,359342.8㎡
일자산도시자연공원,서울 강동구 동남로 660,37.5330196344931,127.151356340452,632733㎡
쌍문근린공원,서울 도봉구 쌍문동 산 80,37.6535418440107,127.028796610408,328018㎡
수락산도시자연공원,서울 노원구 상계동 산 3-1,37.6920670995472,127.065364973013,6691885.3㎡
송파나루근린공원(석촌호수),서울 송파구 잠실동 47,37.507704547907,127.100563730672,285757㎡
선유도근린공원,서울 영등포구 선유로 343,37.5423832345578,126.901819342041,110407㎡
손기정체육공원,서울 중구 손기정로 101,37.5554795035057,126.964815746241,29682.2㎡
성북근린공원,서울 성북구 돈암동 616-1055,37.5949981226742,127.008167626111,137759㎡
봉제산공원,서울 강서구 화곡동 산 41-6,37.542327469887,126.851960042338,917190㎡
서울창포원,서울 도봉구 마들로 916,37.6895391740107,127.047162261964,51470㎡
북서울꿈의숲,서울 강북구 월계로 173,37.6202544613023,127.044324732036,662543㎡
서서울호수공원,서울 양천구 남부순환로64길 20,37.5274318869812,126.830086887893,217946㎡
중랑캠핑숲,서울 중랑구 송림길 160,37.606399332183,127.109453204008,179666㎥
솔밭근린공원,서울 강북구 우이동 80,37.6529617325201,127.011901217642,34955㎡
금천체육공원(관악산),서울 금천구 독산동 산 118-4,37.468311598807,126.908534104168,18083㎡
금천폭포근린공원,서울 금천구 시흥대로38길 61,37.4463967342554,126.904444668874,4835㎡
만수천공원(관악산),서울 금천구 독산동 산 8,37.4744740100373,126.90917268201,19650 ㎡
발바닥공원,서울 도봉구 시루봉로6길 33,37.659608559714,127.029714783649,7000㎡
월천근린공원,서울 도봉구 창동 28,37.6475682555549,127.05088353713,10712㎡
용두근린공원,서울 동대문구 용두동 34-1,37.573225401116,127.040095529989,17182㎡
상암근린공원,서울 마포구 상암동 1761,37.5774940624802,126.885124408175,160349.3㎡
와우근린공원,서울 마포구 창전동 3-193,37.5530198539183,126.929838872054,87432.4㎡
금호근린공원,서울 성동구 장터1길 18,37.5492412669908,127.018529808669,13467㎡   
달맞이근린공원,서울 성동구 옥수동 산 1-1,37.543810961871,127.020086053671,46871㎡
문정근린공원,서울 송파구 문정동 18-4,37.4865125024037,127.128966800378,49972㎡
문화예술공원,서울 서초구 바우뫼로12길 40,37.4698840182934,127.032021588149,74385㎡
세종로공원,서울 종로구 세종대로 지하 189,37.5734304140493,126.975960388222,8868㎡ 
샘말공원(관악산),서울 관악구 대학동 산 63-1,37.4643280288012,126.938417382626,10634㎡ 
초안산생태공원,서울 도봉구 창동 산 24,37.6474940352509,127.041384128711,22113㎡
푸른수목원,서울 구로구 연동로 240,37.4819684351942,126.823669475359,0
서오릉도시자연공원,경기 고양시 덕양구 서오릉로 334-92,37.6256767844858,126.898829527407,1082847㎡
청계산도시자연공원,서울 서초구 원지동 산 33,37.4426405512928,127.054230477837,3692455㎡   
개화근린공원,서울 강서구 개화동 산 17,37.5880427342845,126.805797363476,386500㎡
아차산생태공원,서울 광진구 워커힐로 127,37.5518969936646,127.10124504977,23450㎡
인능산도시자연공원,서울 서초구 내곡동 산 12-404,37.4486695018909,127.066583456467,2400833㎡
구룡산,서울 서초구 염곡동 산 25-1,37.4667054289841,127.059308631465,2752421㎡
우면산도시자연공원,서울 서초구 우면동 산 35-1,37.4701224414245,127.009205899641,4180551㎡
향림근린공원,서울 은평구 진관동 산 55,37.6293225620456,126.92200603291,147859㎡
신사근린공원,서울 은평구 신사동 산 80-4,37.5919508073299,126.909870826309,111650㎡
문화역 서울284,서울 중구 통일로 1,37.5560581817344,126.972115894161,0
광평근린공원,서울 강남구 수서동 산 10-1,37.4881270188254,127.093225474436,519782㎡ 
청담근린공원,서울 강남구 청담동 66,37.5210712813721,127.051232687748,59347㎡ 
허브천문공원,서울 강동구 둔촌동 산 86,37.5374114232963,127.154246253068,25500㎡ 
연신내물빛공원,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,2560㎡ 
나들이근린공원,서울 중랑구 망우동 73-12,37.6054890452696,127.113008570677,32000㎡ 
숭인근린공원,서울 종로구 숭인동 58,37.576055524349,127.017547609345,45615㎡ 
서일대뒷산공원,서울 중랑구 면목동 산 19,37.5875793966445,127.098770889366,631021㎡ 
용마도시자연공원(사가정공원),서울 중랑구 면목동 산 50-26,37.5797254376182,127.095934224329,109635㎡ 
문화비축기지,서울 마포구 증산로 87,37.5703466887615,126.895031420115,140022㎡
경춘선숲길,서울 노원구 공릉동 272-2,37.619934397847,127.080103232827,211392㎡
율현공원,서울 강남구 밤고개로24길,37.4721971560599,127.106177680728,157535㎡
서울로7017,서울 중구 퇴계로 33,37.5575463434632,126.976607882008,0
